Sh/90,Team xG/90,Team Gls/90,SCA90,GCA90,1/3,Team KP/90,PrgP,PrgC,Season,Squad,Poss,Team Tch Att 3rd/90,Team Tkl Def 3rd/90,Team Blk/90,Team Int/90,Team Tch Def 3rd/90
10.87,0.99,0.95,18.89,1.61,24.7,7.9,29.6,15.5,EPL 2022-2023,Southampton,44.5,128.4,9.9,14.3,11.2,196.1
13.47,1.5,1.79,23.95,3.05,28.2,10.2,38.1,18.2,EPL 2022-2023,Tottenham,50.0,135.1,8.6,11.3,8.9,225.6
12.26,1.29,1.08,21.5,1.76,26.1,8.9,33.5,16.2,EPL 2022-2023,West Ham,42.1,131.4,7.6,10.9,10.7,181.5
10.76,0.97,0.74,18.76,1.16,29.2,7.7,35.3,16.1,EPL 2022-2023,Wolves,49.9,130.5,9.6,13.1,7.3,224.8
17.03,2.0,2.26,31.18,4.0,40.7,13.5,55.4,21.6,EPL 2023-2024,Arsenal,58.2,225.3,6.8,10.8,7.7,176.7
13.45,1.67,1.89,24.0,3.39,30.5,10.5,38.2,20.4,EPL 2023-2024,Aston Villa,53.1,143.7,7.1,10.2,6.2,215.0
14.18,1.47,1.37,25.05,2.18,28.3,10.9,34.6,18.7,EPL 2023-2024,Bournemouth,44.4,149.6,7.9,13.3,9.4,179.5
12.37,1.53,1.42,21.16,2.13,25.4,8.7,33.8,13.3,EPL 2023-2024,Brentford,45.2,137.1,9.2,12.5,9.9,209.1
14.61,1.49,1.32,26.58,2.34,39.1,11.3,46.8,22.7,EPL 2023-2024,Brighton,59.8,178.1,7.7,11.5,7.6,248.7
11.32,1.07,1.05,19.92,1.95,25.7,8.6,31.1,19.1,EPL 2023-2024,Burnley,47.4,135.7,7.4,12.6,7.4,211.1
14.13,1.96,2.0,25.79,3.5,35.6,11.0,42.5,23.0,EPL 2023-2024,Chelsea,58.6,172.6,8.6,11.8,7.8,246.5
11.89,1.28,1.47,20.89,2.71,26.2,9.3,30.9,13.3,EPL 2023-2024,Crystal Palace,42.3,133.6,9.8,12.0,8.5,190.4
13.26,1.42,1.05,22.47,1.58,25.2,8.9,29.7,13.0,EPL 2023-2024,Everton,40.8,139.0,9.8,12.6,9.4,178.7
13.13,1.34,1.42,23.08,2.5,29.4,10.0,38.6,17.6,EPL 2023-2024,Fulham,50.6,146.5,8.9,11.5,9.8,226.8
20.55,2.31,2.11,36.53,3.45,43.8,15.7,55.5,24.3,EPL 2023-2024,Liverpool,61.3,207.1,7.2,12.5,7.7,194.5
11.24,1.12,1.29,19.71,2.13,22.0,8.3,29.3,17.8,EPL 2023-2024,Luton Town,42.4,130.6,8.7,13.0,8.6,184.9
17.97,2.12,2.47,33.13,4.45,49.7,14.3,54.2,29.7,EPL 2023-2024,Manchester City,65.2,270.0,4.8,9.3,6.1,184.5
14.29,1.49,1.5,26.03,2.58,31.6,11.4,38.9,20.0,EPL 2023-2024,Manchester Utd,50.6,161.7,8.8,14.1,8.2,215.7
14.26,2.0,2.18,25.87,3.79,29.1,11.2,41.0,19.4,EPL 2023-2024,Newcastle Utd,52.2,158.0,8.3,13.1,7.5,212.7
11.84,1.31,1.29,20.61,2.37,23.8,8.6,30.0,15.9,EPL 2023-2024,Nott'ham Forest,40.6,123.3,11.5,12.8,8.7,193.2
9.47,1.01,0.82,15.82,1.26,18.4,6.8,23.3,9.0,EPL 2023-2024,Sheffield Utd,35.8,100.8,9.9,13.5,9.2,188.2
15.32,1.79,1.82,27.71,3.21,41.8,12.1,55.4,25.2,EPL 2023-2024,Tottenham,61.6,210.8,8.8,11.7,9.3,224.2
11.71,1.38,1.53,20.58,2.74,25.8,8.0,31.8,14.6,EPL 2023-2024,West Ham,41.1,123.5,9.2,12.8,9.5,192.1
11.18,1.23,1.24,19.55,2.13,23.9,8.3,31.1,17.7,EPL 2023-2024,Wolves,48.9,126.4,10.9,13.3,7.5,228.3
14.0,1.68,1.75,25.06,3.19,32.9,11.3,46.2,20.8,EPL 2024-2025,Arsenal,54.4,188.5,6.6,10.2,6.1,165.1
12.94,1.59,1.44,22.94,2.62,31.9,10.1,35.4,18.4,EPL 2024-2025,Aston Villa,50.5,141.8,7.2,8.5,7.2,189.8
16.56,2.02,1.5,29.69,2.5,31.9,12.9,41.1,18.8,EPL 2024-2025,Bournemouth,45.3,159.7,8.1,12.1,9.6,165.9
10.75,1.59,2.0,19.56,3.62,28.6,8.4,35.8,14.1,EPL 2024-2025,Brentford,46.9,133.9,8.1,13.6,7.8,237.1
14.56,1.43,1.56,25.06,2.69,31.4,10.1,42.6,21.4,EPL 2024-2025,Brighton,53.4,157.0,6.1,12.0,8.1,206.4
15.81,2.14,2.31,28.31,4.19,37.8,12.1,39.9,23.2,EPL 2024-2025,Chelsea,56.5,166.6,7.7,11.1,8.4,205.2
14.0,1.37,1.0,23.44,1.81,25.8,10.2,33.8,14.4,EPL 2024-2025,Crystal Palace,43.5,123.2,10.3,12.8,8.7,199.7
12.07,0.99,0.8,21.47,1.47,26.4,8.8,28.1,14.1,EPL 2024-2025,Everton,39.9,127.9,10.0,9.3,9.3,173.9
13.37,1.37,1.44,24.44,2.69,33.6,10.8,40.4,20.3,EPL 2024-2025,Fulham,50.8,164.1,9.0,10.3,9.3,205.8
10.19,0.95,0.94,18.25,1.5,24.6,8.0,26.0,13.9,EPL 2024-2025,Ipswich Town,43.0,116.1,8.3,11.0,8.5,204.1
9.0,1.02,1.31,16.0,2.31,26.4,7.2,29.4,15.6,EPL 2024-2025,Leicester City,46.1,109.4,11.1,15.1,7.8,218.6
15.2,2.04,2.07,27.4,3.67,37.1,12.1,43.3,20.5,EPL 2024-2025,Liverpool,56.9,171.9,8.1,9.9,8.0,206.1
17.56,1.85,1.75,32.25,3.0,44.4,14.4,55.7,33.8,EPL 2024-2025,Manchester City,62.7,296.4,5.2,8.8,6.2,162.4
12.87,1.45,1.25,23.87,2.31,31.1,10.4,37.4,17.2,EPL 2024-2025,Manchester Utd,53.9,145.4,10.4,9.7,11.1,231.3
13.5,1.58,1.37,24.94,2.69,30.7,10.7,40.1,18.1,EPL 2024-2025,Newcastle Utd,50.1,155.1,7.0,12.4,7.7,205.0
13.37,1.23,1.31,23.44,2.12,23.9,9.8,28.2,17.9,EPL 2024-2025,Nott'ham Forest,40.9,145.9,10.8,11.0,9.2,165.1
9.19,1.05,0.69,16.94,1.25,29.1,7.1,32.4,19.1,EPL 2024-2025,Southampton,53.0,130.2,7.6,11.9,7.6,249.2
15.56,1.91,2.12,27.5,3.69,37.2,11.6,49.3,25.2,EPL 2024-2025,Tottenham,58.2,195.9,7.5,11.0,9.2,203.6
14.87,1.47,1.25,25.81,2.0,29.6,10.4,34.9,18.2,EPL 2024-2025,West Ham,46.9,137.2,8.7,12.9,8.8,200.7
11.0,1.05,1.5,18.94,2.69,25.4,8.2,29.2,14.4,EPL 2024-2025,Wolves,46.7,111.1,12.1,12.6,7.8,206.9
